prec_no,block_no,name
17,47405,雄武
49,0433,勝沼
35,0274,葉山
67,0952,河内
20,47440,広尾
84,1479,上大津
12,0021,富良野
34,1561,加美
52,1308,河合
15,47413,岩見沢
34,47592,石巻
65,0651,日置川
50,47639,富士山
36,1031,西会津
83,0799,湯布院
74,0757,佐喜浜
34,0242,気仙沼
45,1241,坂畑
54,0543,津南
86,1088,茶臼峠
32,0203,姥井戸山
67,0950,三入
63,0967,大屋
82,0945,柳川
14,0037,支笏湖畔
91,47927,宮古島
11,0005,歌登
34,1600,栗駒
73,0741,久万
34,0985,雄勝
49,00,山梨県全地点
66,0669,倉敷
87,1624,山田
52,1437,清見
33,47512,大船渡
84,00,長崎県全地点
63,0619,上郡
91,1246,伊良部
81,0775,防府
86,0847,戦山
62,,大阪府
44,00,東京都全地点
68,00,島根県全地点
48,0394,信濃町
46,,神奈川県
33,1123,普代
73,0745,御荘
88,0980,古仁屋
86,0843,松島
36,47597,白河
23,0143,長万部
33,0224,薬師岳
22,1276,目黒
14,1194,厚田
42,0355,藤岡
31,47574,深浦
53,0918,大台
23,0151,小谷石
50,47656,静岡
65,1074,本宮
88,1520,笠利
16,47411,小樽
57,0579,小浜
84,1676,絹笠山
42,0356,館林
74,1179,池川
43,0359,久喜
85,0826,権現山
71,47895,徳島
52,0484,蕪山
53,1255,宮川
51,0466,出来山
69,0713,倉吉
66,1371,恩原
81,0770,瀬戸原
33,1206,住田
19,1192,太田
33,0217,大森山
20,1214,大津
71,0725,宍喰
73,0743,八幡浜
91,1247,多良間
66,1618,旭西
62,0605,河内長野
35,0279,米沢
43,00,埼玉県全地点
54,1318,中条
55,1309,氷見
50,0445,川根本町
36,0307,石川
19,1461,鶴丘
48,47620,諏訪
51,0462,茶臼山
65,1342,かつらぎ
22,1340,えりも岬
48,1411,小谷
71,0720,池田
83,0808,佐伯
31,0170,四兵衛森
15,1567,雨竜
21,1067,大滝
87,0859,高鍋
34,1126,駒ノ湯
33,0225,黒森山
73,47892,宇和島
74,0749,成山
36,1466,玉川
45,1003,横芝光
18,1196,厚床
86,47824,人吉
35,1040,鼠ケ関
69,0938,日南
34,1267,花山
48,0425,笹山
72,47890,多度津
34,0246,志津川
72,1239,財田
88,1277,与論島
31,1495,青森大谷
21,0130,白老
69,1391,鹿野
56,00,石川県全地点
83,0797,伏木
86,0841,間の谷山
91,1586,国頭
54,0534,小出
35,0263,鶴岡
12,00,上川地方全地点
88,0890,喜入
34,1630,桃生
32,0912,大館
57,0576,板垣
34,0244,築館
83,,大分県
20,47417,帯広
24,0153,せたな
88,47836,屋久島
46,00,神奈川県全地点
35,,山形県
65,,和歌山県
53,0991,磯部
11,1593,幌泊
52,1436,ひるがの
88,0887,加世田
87,1608,都農
14,0036,島松山
22,00,日高地方全地点
48,47618,松本
87,1164,酒谷
67,1325,油木
32,1115,比立内
12,1279,朱鞠内
84,47818,雲仙岳
12,1053,幌加内
67,0674,三次
64,1669,葛川
33,0216,岩洞
88,0936,志布志
34,1564,蔵王
82,00,福岡県全地点
45,0377,東庄
33,0226,豊沢
44,47678,八丈島
88,1139,伊仙
86,0926,上
46,1443,辻堂
52,0478,大日岳
72,0731,竜王山
45,,千葉県
36,1127,上遠野
42,47624,前橋
54,0545,袴岳
64,0635,五條
33,,岩手県
40,1012,柿岡
32,1408,藤原
60,0587,土山
67,1606,呉市蒲刈
50,47655,御前崎
88,00,鹿児島県全地点
42,,群馬県
19,1417,茶内原野
88,1542,天城
51,1555,セントレア
19,0090,川湯
32,0196,本荘
86,,熊本県
31,0164,五所川原
67,0675,庄原
61,0928,京北
57,47631,敦賀
84,1535,小値賀
87,0852,高千穂
60,0581,荒川
17,0075,小清水
24,1513,米岡
16,1615,ニセコ
34,0255,不忘山
17,,網走・北見・紋別地方
57,47616,福井
60,1578,朽木平良
41,0338,真岡
61,0588,峰山
74,1233,佐賀
20,0112,本別
54,1297,平岩
60,1087,柳ケ瀬
69,1519,湖山
73,1077,今治
51,0468,作手
33,1653,一方井
46,0392,三浦
36,1359,吉尾峠
52,1057,美濃
84,1452,千々石
33,0210,西岳
43,1232,鳩山
88,1146,輝北
50,47657,三島
34,1631,東松島
68,0706,十種峯
17,47409,網走
67,1163,志和
20,0107,上士幌
19,00,釧路地方全地点
56,1544,三井
85,0831,多良岳
48,0993,東御
74,0758,窪川
50,0454,天城山
85,1667,大町
91,47917,西表島
60,1524,米原
66,0655,今岡
42,0347,赤城山
12,1280,麓郷
35,1292,大井沢
83,0809,倉木
33,1224,川井
52,0477,乗鞍岳
45,0376,我孫子
74,0751,南国
32,1463,脇神
81,0939,油谷
83,1142,宇目
53,0505,笠取山
84,47812,佐世保
86,0832,鹿北
41,1017,烏山
55,1414,大山
20,0102,殖産高地
66,47768,岡山
33,0218,岩泉
52,0489,権現山
45,1238,牛久
36,0303,田島
49,1023,大泉
87,0856,猪原
68,1093,桜江
63,0615,一宮
84,47843,福江
54,1395,塩沢
44,1180,小沢
56,0562,門前
54,1427,筒方
87,0861,西都
88,1181,肝付前田
14,0032,手稲山
74,0752,芸西
61,0920,花背峠
82,0793,大牟田
61,00,京都府全地点
55,0554,南砺高宮
33,0231,遠野
57,1537,春江
69,0715,霊石山
52,1306,白川
84,0811,佐須奈
42,0351,桐生
65,0971,栗栖川
64,1377,壷坂
88,,鹿児島県
48,0408,佐久
49,1599,乙女湖
35,0910,向町
12,1197,音威子府
88,0880,川内
88,1136,田代
53,0990,松阪
32,47582,秋田
86,0924,水俣
52,0488,三界山
87,0853,大中尾
21,0123,安平
87,1353,神門
16,0059,桂台
36,0298,博士峠
36,0305,観音山
21,1504,洞爺湖畔
45,0381,茂原
82,0788,朝倉
41,0335,鹿沼
86,0845,本渡
23,1543,戸井泊
36,47595,福島
32,0193,角館
32,1109,東成瀬
15,1270,晩生内
62,1065,枚方
54,1155,松代
82,47807,福岡
73,0959,大洲
35,1465,浜中
68,0698,掛合
52,1577,関市板取
68,0703,三隅
68,1362,原山
60,1361,霜ケ原
68,0692,西ノ島
31,0169,三沢
88,0877,紫尾山
48,1090,南小谷
88,0883,東市来
81,1100,羅漢山
16,00,後志地方全地点
33,1033,山田
17,0080,藻琴山
11,1203,沼川
74,1476,南国日章
48,0427,恵那山
81,47784,山口
40,1082,筑波山
48,1392,網掛山
46,1006,日吉
40,1170,中野
62,0604,生駒山
68,1474,高津
67,,広島県
69,1389,江尾
87,1636,椎葉
68,1175,波佐
21,1665,厚真幌内
21,1498,花和
40,0323,坂東
64,1376,葛城
15,0041,滝川
52,0494,中津川
53,0499,北勢
17,0065,湧別
33,1563,附馬牛
48,0412,八ケ岳
68,0700,吾妻山
82,0787,九千部山
73,0738,成就社
45,47674,勝浦
61,47759,京都
54,1370,大湯
44,47991,南鳥島
33,0213,茶臼岳
35,0268,櫛引
50,,静岡県
14,0031,山口
52,0492,柄石峠
91,1145,伊原間
44,1506,三宅坪田
65,00,和歌山県全地点
84,1441,野母崎
42,00,群馬県全地点
87,47835,油津
34,0241,栗駒山
82,1046,添田
15,0048,丁未山
67,1603,安宿
81,0942,柳井
61,0598,京田辺
52,0498,三森山
71,0972,穴吹
73,1456,瀬戸
52,1301,揖斐川
69,00,鳥取県全地点
81,,山口県
87,1348,鞍岡
54,0518,両津
54,0533,桜坂峠
44,1468,八重見ヶ原
32,1425,仁別
87,0865,国富
42,0353,上里見
85,1612,鳥栖
36,1364,六十里越
13,00,留萌地方全地点
24,0156,潮見
18,0085,標津
85,1075,伊万里
91,1251,大原
50,1440,鍵穴
68,0699,横田
50,47654,浜松
36,0294,船引
83,0795,豊後高田
21,1329,洞爺湖温泉
20,,十勝地方
44,1644,大島差木地
41,1605,那須烏山
65,1347,西川
85,00,佐賀県全地点
91,47945,南大東（南大東島）
52,1311,宮之前
31,47575,青森
34,0245,箕輪山
48,1551,高遠
32,0200,矢島
35,1562,上山中山
43,1070,所沢
60,0580,今津
24,47428,江差
68,0696,大東
32,1117,東由利
33,0215,岩手山
17,1263,東藻琴
53,0509,小俣
55,,富山県
67,0671,道後山
35,0261,太平山
57,0575,春日野
72,,香川県
41,0334,高根沢
41,1016,足尾
18,1489,根室中標津
54,1469,松浜
48,1549,北相木
44,47662,東京
23,0148,北斗
43,1182,上吉田
34,0254,川崎
14,0034,小金湯
88,0934,出水
45,0916,佐倉
99,89532,昭和
44,1467,大島北ノ山
43,1000,三峰
35,1169,落合
17,0082,津別
84,0817,大瀬戸
32,0198,横手
82,,福岡県
67,0678,海見山
66,0654,那岐山
52,1313,黒川
66,0660,赤磐
52,0487,金山
17,0077,留辺蘂
68,0693,鹿島
36,1607,山田
88,1104,矢止岳
73,0733,玉川
48,0420,宮田高原
56,1486,穴水
48,1666,木祖薮原
50,00,静岡県全地点
43,47626,熊谷
33,47585,宮古
86,1240,阿蘇乙姫
32,0181,陣場
48,,長野県
54,47612,高田
86,0850,一里山
91,1490,下地島
50,0448,高根山
63,0969,三田
18,00,根室地方全地点
91,0906,読谷
56,0568,宝達山
50,1673,熱海伊豆山
20,1405,押帯
11,0002,沓形
31,1079,酸ケ湯
88,1540,中之島
40,1530,下館
20,1571,三股
17,1073,西興部
69,0711,岩井
33,1628,新町
31,0176,空岱山
54,00,新潟県全地点
44,1525,三宅伊豆
32,1278,桧木内
66,1330,千屋
19,1283,知方学
72,0726,内海
55,0548,宇奈月
63,1587,神戸空港
60,0963,東近江
44,1648,青ヶ島
84,,長崎県
50,0441,御殿場
60,0585,君ケ畑台地
83,0802,釈迦岳
44,0367,調布
40,0325,鹿嶋
88,0874,古原野
91,1493,所野
63,1449,芦屋
33,1128,紫波
73,1350,近永
91,1491,仲筋
12,1047,朝日
44,1595,母島
40,1173,徳田
65,0645,高野山
87,0867,霧島御池
51,1541,新城
52,0485,八幡
19,0095,中徹別
41,0328,八方が原
66,1584,富
63,0614,柏原
87,0872,串間
88,1161,佐多
73,1521,松山南吉田
74,0756,須崎
63,0611,八鹿
62,1471,関空島
65,1485,川辺
48,0413,木曽平沢
32,0188,五城目
41,0340,栃木
81,0779,安下庄
81,1101,長野山
81,0771,広瀬
21,0128,大岸
31,0163,鰺ケ沢
87,0858,矢櫃岳
31,47576,むつ
81,0778,宇部
69,47744,米子
85,47813,佐賀
50,0453,湯ケ島
14,0030,新篠津
24,00,檜山地方全地点
31,1122,小田野沢
41,0330,八溝山
35,0258,鳥海山
40,,茨城県
17,0079,美幌
88,0888,吉ケ別府
91,47912,与那国島
17,0066,滝上
33,0233,釜石
36,0281,梁川
48,0428,鶯巣
49,1640,富士川
15,0039,深川
40,1388,門井
51,0983,蟹江
15,1402,沼の沢
35,1132,高畠
50,1243,清水
34,1298,筆甫
20,0115,芽室
64,0633,大宇陀
74,0760,堂ケ森
13,1112,古丹別
55,47606,伏木
36,0290,猪苗代
84,47817,長崎
49,47640,河口湖
83,0806,竹田
52,1387,御母衣
50,0442,富士
84,1453,鰐浦
54,1154,小国
45,47648,銚子
88,0898,上中
22,1097,仁世宇
33,0236,江刺
54,0528,粟ヶ岳
33,1215,奥中山
41,0337,葛生
54,0515,村上
68,47741,松江
14,1076,西野幌
13,1216,初山別
13,1213,焼尻
68,47740,西郷
88,0878,さつま柏原
62,00,大阪府全地点
74,0747,繁藤
16,0060,喜茂別
24,,檜山地方
17,1460,女満別
51,0982,稲武
42,1222,藤原
11,0003,浜頓別
66,0930,高梁
15,00,空知地方全地点
34,1290,江ノ島
87,1433,上椎葉
81,0769,秋吉台
87,0854,中小屋
66,00,岡山県全地点
84,47800,厳原
12,1191,江丹別
85,0825,和多田
82,0783,篠栗
87,47830,宮崎
63,0624,家島
48,0422,須原
33,1508,大槌
68,47755,浜田
33,1627,刈屋
33,0211,葛巻
48,0418,高遠
82,1141,太宰府
48,0403,燕岳
35,47520,新庄
66,0664,和気
55,00,富山県全地点
67,0687,生口島
35,0260,差首鍋
52,0475,森茂
86,0833,南小国
35,0277,小国
15,0038,石狩沼田
32,1511,雄和
12,0007,ピヤシリ山
87,00,宮崎県全地点
35,1428,白鷹山
50,1662,春野
48,1312,奈川
33,1558,金ケ崎
71,1352,木頭
41,0333,方塞山
12,1572,剣淵
35,0264,狩川
91,47918,石垣島
16,0057,脇方台地
48,0410,茂来山
83,0810,蒲江
66,0663,福渡
21,1501,入江
36,1116,鷲倉
49,0436,古関
60,0586,大津
60,00,滋賀県全地点
88,0882,八重山
63,47747,豊岡
61,0965,間人
48,0424,飯島
50,47666,石廊崎
51,0461,豊山
48,0395,飯山
50,1244,磐田
16,1091,赤井川
64,0632,曽爾
61,0599,鷲峰山
91,1354,波照間
53,00,三重県全地点
12,0008,名寄
85,0827,八幡岳
33,0219,駒ケ岳
33,1078,薮川
43,47641,秩父
72,00,香川県全地点
15,,空知地方
46,0391,江ノ島
86,1086,湯前横谷
36,0302,駒止峠
32,0197,保呂羽山
67,1472,本郷
83,0804,温見
42,0348,田代
33,1212,小本
82,0791,耳納山
46,1007,平塚
61,1025,長岡京
62,1470,八尾
65,1457,友ケ島
71,1242,蒲生田
55,0558,細尾峠
53,0514,熊野
11,1512,本泊
52,0481,白尾山
67,0682,恵下谷山
54,1514,秋津
61,1641,坂浦
20,0105,上足寄
12,1189,占冠
84,1672,西海
55,1412,宇奈月
55,47607,富山
32,1289,八幡平
67,1579,都志見
81,1261,和田
12,1184,東川
22,0136,日高門別
54,0530,栃尾
21,0133,登別山
66,1140,奈義
32,0183,能代
73,0739,長浜
61,1671,綾部山家
81,0940,岩国
64,0957,上北山
24,0154,今金
88,0886,高峠
36,0312,東白川
83,0807,出羽
36,1294,湯本
50,0444,越木平
15,1271,桜山
81,0776,下松
40,1011,日立
66,0929,下呰部
16,0061,黒松内
32,0182,杉沢山
42,1021,伊勢崎
20,1211,更別
63,0977,兎和野高原
54,1645,瓢湖
48,1022,南木曽
86,0846,八代
83,0803,湯平
64,0636,天辻
40,0324,土浦
56,47605,金沢
82,1657,小呂島
52,0491,美濃加茂
49,0430,日向山
41,0326,那須高原
36,1130,飯舘
17,0067,上藻別
54,0997,守門
40,1245,鉾田
40,1421,大能
44,0368,世田谷
12,1574,金山
88,1654,諏訪之瀬島
86,47821,阿蘇山
81,0773,桜山
73,0732,大三島
74,47898,清水
53,47649,上野
83,1237,杵築
55,0556,小谷
60,0584,近江八幡
69,47742,境
84,0962,島原
69,1231,塩津
83,0933,臼杵
44,0365,小河内
87,1275,見立
60,0976,長浜
68,1322,六日市
63,0612,和田山
33,1629,陸前高田
88,1658,平島
73,0734,新居浜
51,0464,豊田
35,0272,左沢
68,1320,赤名
12,0011,士別
65,0978,湯浅
91,1651,渡名喜
60,0964,信楽
50,1106,三倉
51,00,愛知県全地点
41,1334,塩谷
91,1250,川平
87,0862,えびの高原
32,0202,湯沢
74,0748,佐川
53,1532,熊野新鹿
13,47404,羽幌
12,0010,下川
56,1171,白山白峰
49,0434,大月
12,0020,白金
12,0023,前時雨山
69,47746,鳥取
52,0474,流葉山
32,0189,男鹿本山
64,0630,針
36,0308,山王峠
74,1281,魚梁瀬
21,0125,穂別
46,0390,箱根
91,1516,慶良間
19,0091,阿寒湖畔
41,1221,土呂部
33,0207,二戸
13,0024,天塩
74,0761,大正
62,47772,大阪
55,1553,五箇山
36,1129,川内
32,0192,岩見三内
36,0291,二本松
42,0352,一の字山
71,0722,江田山
91,1147,伊是名
61,47750,舞鶴
67,1257,王泊
50,1105,熊
48,1339,阿南
22,1594,平取
86,0836,鞍岳
20,1099,三国山
82,0789,英彦山
20,1409,柏倉
35,1125,肘折
48,1529,松本今井
33,0228,大迫
88,0884,権現ケ尾
13,0025,遠別
87,1345,西米良
63,1450,神戸塩屋
64,00,奈良県全地点
66,0665,佐屋
42,0345,雨見山
40,47629,水戸
12,1458,東神楽
17,0073,仁頃山
88,0891,肝属川
86,1158,五家荘
15,1287,空知吉野
65,0646,護摩壇山
71,1327,半田
33,0239,千厩
17,1569,置戸常元
34,1365,泉ケ岳
85,1480,川副
63,0623,六甲山
54,0540,能生
64,1619,天川
67,0676,大朝
19,47418,釧路
50,1668,有東木
11,,宗谷地方
36,,福島県
48,1317,浪合
68,1310,出雲
12,1052,美瑛
21,0131,鵡川
54,1060,下関
36,0309,大辷山
88,47823,阿久根
61,1378,須知
82,1527,曽根
17,1617,山園
42,0354,西野牧
36,1633,新地
12,0019,旭岳
82,1590,空港北町
42,1375,高手山
34,0257,亘理
54,0538,枝折峠
73,0735,四国中央
41,1018,佐野
34,47590,仙台
41,,栃木県
65,0642,葛城山
88,47909,名瀬
36,1274,川前
55,0557,立山
87,,宮崎県
44,1643,大島泉津
54,0537,十日町
32,1036,男鹿
33,1598,厳美
67,47767,福山
54,0524,寺泊
33,0220,害鷹森
35,0271,楯岡
36,0297,只見
23,0155,熊石
88,0937,鹿屋
88,0895,内之浦
31,0175,碇ケ関
86,47838,牛深
55,1455,猪谷
12,0022,前富良野岳
63,0618,後川
88,0893,指宿
61,0592,浅原山
52,1363,大日
74,47899,室戸岬
42,0342,前武尊
66,0658,新見
66,1585,吉備中央
40,0911,江戸崎
46,1096,丹沢湖
71,1098,福原旭
50,1114,梅ケ島
68,0697,大田
54,0522,巻
53,0503,亀山
48,0399,大町
52,0486,樽見
53,1258,南伊勢
31,0177,休屋
33,0229,湯田
36,0289,飯谷山
53,47684,四日市
33,0240,室根山
41,0331,大田原
67,0690,倉橋
55,0547,魚津
67,0680,内黒山
83,47815,大分
18,1547,上標津
40,0317,神峰山
63,0608,温泉
82,1637,東谷
49,0438,山中
41,1333,今市
36,0311,田代山
48,1445,伊那
66,47756,津山
67,0683,東広島
33,0209,久慈
36,1386,湖南
68,1307,海士
18,0086,中標津
88,0879,中甑
44,0366,八王子
69,,鳥取県
68,0701,川本
21,0126,森野
45,0384,鴨川
81,0772,豊田
81,0913,玖珂
31,1041,大間
72,1475,香南
54,0523,宝珠山
31,0178,朝日奈岳
61,1379,三岳
12,0006,美深
24,1205,石崎
35,1372,中津川
60,0582,春照
20,1510,帯広泉
17,0078,留辺蘂山
82,0785,前原
12,0017,瑞穂
20,0118,浦幌
22,0138,ヌモトル山
35,47587,酒田
21,1502,月浦
48,0421,松峯
84,1080,有川
20,1204,駒場
85,1610,唐津
65,0648,虎ケ峰峠
91,0907,胡屋
87,1135,古江
50,0457,稲取
68,1094,瑞穂
69,0716,大山
35,0275,長井
20,00,十勝地方全地点
32,1273,藤里
36,1150,津島
46,0387,相模湖
45,1004,大多喜
33,0214,岩手松尾
14,1193,浜益
61,1380,綾部
31,1042,大和山
23,0152,松前
22,0140,静内
66,1531,日応寺
69,0718,智頭
91,1483,鏡原
31,0160,蟹田
32,1043,八森
21,,胆振地方
61,0589,宮津
50,0989,掛川
34,0252,鷹巣山
35,1488,東根
52,0482,白鳥
17,0070,佐呂間
83,0979,耶馬渓
87,1609,日之影
91,1482,安次嶺
74,47893,高知
54,0541,光ケ原
35,0267,温海岳
12,1048,比布
63,0617,佐用
33,00,岩手県全地点
12,1190,上富良野
22,,日高地方
12,1055,和寒
82,1611,早良脇山
81,0765,須佐
63,0609,三川山
86,0851,白髪岳
91,0902,与那覇岳
53,1230,鳥羽
61,0593,福知山
51,1344,蒲郡
63,0616,笠形山
64,0634,高見山
51,47653,伊良湖
54,0526,村松
33,1045,衣川
63,0628,福良
55,0553,上市
20,0101,陸別
48,1394,大鹿
23,0144,八雲
17,47435,紋別
48,1659,王滝大又
74,1235,江川崎
42,0346,沼田
31,1026,今別
84,0922,口之津
32,1167,鎧畑
41,1675,日光東町
52,1153,平井
67,0948,東城
40,1635,高萩
65,0644,岩出
24,1199,奥尻
55,0552,砺波
43,1159,浦山
62,1062,堺
15,0040,常盤山
63,,兵庫県
33,1028,祭畤
14,0035,恵庭島松
53,0507,名張
11,1284,宗谷岬
20,0100,軍艦山
49,0439,南部
91,1518,旧東
23,0145,森
69,1178,若桜
48,47622,軽井沢
72,0729,滝宮
14,00,石狩地方全地点
53,1381,阿児
57,1454,大飯
32,0186,湯瀬
32,0201,三森山
57,0975,川上
32,0199,にかほ
22,1264,幌満
50,47668,網代
13,,留萌地方
84,1446,普賢岳
68,1336,福光
44,1522,新島
67,1583,美土里
91,1374,東
11,47402,北見枝幸
83,1157,別府
19,1187,弟子屈
33,0206,軽米
73,,愛媛県
23,0147,川汲
41,0329,黒磯
23,1462,高松
64,,奈良県
48,1399,十石峠
36,1044,金山
86,0946,田浦
17,0074,北見
91,1517,北大東
66,0662,大平山
81,1367,篠生
44,1646,利島
48,1314,開田高原
16,1072,真狩
36,0288,原町
20,0104,小坂山
72,47891,高松
55,1533,秋ヶ島
21,47423,室蘭
40,00,茨城県全地点
71,00,徳島県全地点
50,1338,井川
35,0269,月山
34,0251,新川
21,0124,厚真
48,0409,高ボッチ
56,47600,輪島
67,1326,廿日市津田
36,0292,白馬石山
36,1034,広野
33,0232,五葉山
44,,東京都
56,0566,羽咋
54,0525,三条
64,1366,高見
62,0606,熊取
51,,愛知県
88,0899,尾之間
43,0363,さいたま
87,0857,日向
48,1397,杉島
49,0429,剣ノ峰
67,0677,加計
52,0495,関ケ原
50,0986,佐久間
68,1473,西郷岬
32,1131,阿仁合
56,0565,七尾
18,1266,糸櫛別
40,1331,常陸大宮
51,1638,大府
54,47604,新潟
88,47837,種子島
17,0083,北見中山
31,1108,岳
63,0956,西脇
88,47942,沖永良部
54,,新潟県
72,0730,引田
64,0640,上野地
52,1390,小津
54,0995,粟島
69,1385,佐治
66,0666,矢掛
52,0496,大垣
66,0668,虫明
